sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,accept_offer_price,color,condition,cost,country_of_manufacture,cpu_cores,cpu_quantity,cpu_speed,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,decline_offer_price,description,drive,featured,gallery,generation,gift_message_available,has_options,hdd1_capacity,hdd1_quantity,hdd_size,hdd_tech,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,part_number,part_type,power_supply,price,processor,raid,ram_quantity,ram_technology,required_options,server_compatibility,server_type,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,warranty,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
lenova-yoga-laptop,,Default,simple,,"Default Category",base,885,,,,,,,,"2015-01-13 19:46:45",,,,,884,"<strong>Combining the productivity of an Ultrabook™ with the intuitive touch experience of a tablet</strong>",,Yes,,,,0,,,,,/l/e/lenovo-yoga.jpg,"Lenova Yoga Laptop",,,"Buy your Lenova Yoga Laptop today or call us to configure one for your needs. Full warranty and thoroughly tested before shipping to you.",,"Refurbished Lenova Yoga Laptop ",,,"Use config","Use config","Lenova Yoga Laptop",,,"Block after Info Column",,,,,885.0000,,,,,0,,,"Want to Upgrade? Give us a call!</br><strong>770-850-8400</strong>",/l/e/lenovo-yoga.jpg,"Lenova Yoga Laptop",,,,1,2,/l/e/lenovo-yoga.jpg,"Lenova Yoga Laptop","2015-02-24 19:04:34",lenova-yoga-laptop,lenova-yoga-laptop,4,,3.1000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/l/e/lenovo-yoga.jpg,"Lenova Yoga Laptop",1,0
,,,,Laptops,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-1,,Default,simple,Servers,"Default Category",base,1,,,,,,,,"2015-01-28 21:38:29",,,,,0.0,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",,No,,,,0,,,,,/l/e/lenovo-yoga_1.jpg,,,,"Buy your Test today or call us to configure one for your needs. Full warranty and thoroughly tested before shipping to you.",,"Refurbished Test Servers",,,"Use config","Use config",Test,,,"Block after Info Column",,,,,1.0000,,,,,0,,,"Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>",/l/e/lenovo-yoga_1.jpg,,,,,2,2,/l/e/lenovo-yoga_1.jpg,,"2015-02-24 19:04:34",test-1,test-1,4,,45.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/l/e/lenovo-yoga_1.jpg,,1,0
aspire-v5-571-6499-1,,Laptop,simple,Laptops,"Default Category",base,695,,,,,Quad,,1.7GHz,"2015-01-28 21:38:29",,,,,694.0,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",,No,,,,0,750GB,,,,/a/s/aspire-v5-571-6499.jpg,"Aspire V5-571-6499",Acer,,"Buy your Aspire V5-571-6499 today or call us to configure one for your needs. Full warranty and thoroughly tested before shipping to you.",,"Refurbished Aspire V5-571-6499 Laptops",,,"Use config","Use config","Aspire V5-571-6499",,,"Block after Info Column",,,,,695.0000,Intel,,8GB,,0,,,"Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>",/a/s/aspire-v5-571-6499.jpg,"Aspire V5-571-6499",,,,1,2,/a/s/aspire-v5-571-6499.jpg,"Aspire V5-571-6499","2015-02-24 19:04:34",aspire-v5-571-6499-1,aspire-v5-571-6499-1,4,"90 Day",45.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/a/s/aspire-v5-571-6499.jpg,"Aspire V5-571-6499",1,0
inspiron-15r-7520-*special-edition*-1,,Laptop,simple,Laptops,"Default Category",base,889,,,,,Quad,,2.5GHz,"2015-01-28 21:38:29",,,,,888.0,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",,No,,,,0,750GB,,,,/i/n/inspiron-15r-7520-_special-edition_.jpg,"Inspiron 15R 7520 *Special Edition*",Dell,,"Buy your Inspiron 15R 7520 *Special Edition* today or call us to configure one for your needs. Full warranty and thoroughly tested before shipping to you.",,"Refurbished Inspiron 15R 7520 *Special Edition* Laptops",,,"Use config","Use config","Inspiron 15R 7520 *Special Edition*",,,"Block after Info Column",,,,,889.0000,Intel,,6GB,,0,,,"Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>",/i/n/inspiron-15r-7520-_special-edition_.jpg,"Inspiron 15R 7520 *Special Edition*",,,,1,2,/i/n/inspiron-15r-7520-_special-edition_.jpg,"Inspiron 15R 7520 *Special Edition*","2015-02-24 19:04:34",inspiron-15r-7520-special-edition-1,inspiron-15r-7520-special-edition-1,4,"90 Day",45.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/i/n/inspiron-15r-7520-_special-edition_.jpg,"Inspiron 15R 7520 *Special Edition*",1,0
inspiron-15r-n5010-1,,Laptop,simple,Laptops,"Default Category",base,689,,,,,Dual,,2.4GHz,"2015-01-28 21:38:29",,,,,688.0,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",,No,,,,0,320GB,,,,/i/n/inspiron-15r-n5010.jpg,"Inspiron 15R N5010",Dell,,"Buy your Inspiron 15R N5010 today or call us to configure one for your needs. Full warranty and thoroughly tested before shipping to you.",,"Refurbished Inspiron 15R N5010 Laptops",,,"Use config","Use config","Inspiron 15R N5010",,,"Block after Info Column",,,,,689.0000,Intel,,3GB,,0,,,"Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>",/i/n/inspiron-15r-n5010.jpg,"Inspiron 15R N5010",,,,1,2,/i/n/inspiron-15r-n5010.jpg,"Inspiron 15R N5010","2015-02-24 19:04:34",inspiron-15r-n5010-1,inspiron-15r-n5010-1,4,"90 Day",45.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/i/n/inspiron-15r-n5010.jpg,"Inspiron 15R N5010",1,0
latitude-e4310-1,,Laptop,simple,Laptops,"Default Category",base,335,,,,,Quad,,2.66GHz,"2015-01-28 21:38:29",,,,,334.0,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",,No,,,,0,250GB,,,,/l/a/latitude-e4310.jpg,"Latitude E4310",Dell,,"Buy your Latitude E4310 today or call us to configure one for your needs. Full warranty and thoroughly tested before shipping to you.",,"Refurbished Latitude E4310 Laptops",,,"Use config","Use config","Latitude E4310",,,"Block after Info Column",,,,,335.0000,Intel,,8GB,,0,,,"Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>",/l/a/latitude-e4310.jpg,"Latitude E4310",,,,1,2,/l/a/latitude-e4310.jpg,"Latitude E4310","2015-02-24 19:04:34",latitude-e4310-1,latitude-e4310-1,4,"90 Day",45.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/l/a/latitude-e4310.jpg,"Latitude E4310",1,0
latitude-e5440-1,,Laptop,simple,Laptops,"Default Category",base,355,,,,,Quad,,1.9GHz,"2015-01-28 21:38:29",,,,,354.0,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",,No,,,,0,320GB,,,,/l/a/latitude-e5440.jpg,"Latitude E5440",Dell,,"Buy your Latitude E5440 today or call us to configure one for your needs. Full warranty and thoroughly tested before shipping to you.",,"Refurbished Latitude E5440 Laptops",,,"Use config","Use config","Latitude E5440",,,"Block after Info Column",,,,,355.0000,Intel,,4GB,,0,,,"Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>",/l/a/latitude-e5440.jpg,"Latitude E5440",,,,1,2,/l/a/latitude-e5440.jpg,"Latitude E5440","2015-02-24 19:04:34",latitude-e5440-1,latitude-e5440-1,4,"90 Day",45.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/l/a/latitude-e5440.jpg,"Latitude E5440",1,0
latitude-e6230-1,,Laptop,simple,Laptops,"Default Category",base,588,,,,,Quad,,2.6GHz,"2015-01-28 21:38:29",,,,,587.0,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",,No,,,,0,500GB,,,,/l/a/latitude-e6230.jpg,"Latitude E6230",Dell,,"Buy your Latitude E6230 today or call us to configure one for your needs. Full warranty and thoroughly tested before shipping to you.",,"Refurbished Latitude E6230 Laptops",,,"Use config","Use config","Latitude E6230",,,"Block after Info Column",,,,,588.0000,Intel,,8GB,,0,,,"Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>",/l/a/latitude-e6230.jpg,"Latitude E6230",,,,1,2,/l/a/latitude-e6230.jpg,"Latitude E6230","2015-02-24 19:04:34",latitude-e6230-1,latitude-e6230-1,4,"90 Day",45.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/l/a/latitude-e6230.jpg,"Latitude E6230",1,0
latitude-e6400-1,,Laptop,simple,Laptops,"Default Category",base,295,,,,,Dual,,2.53GHz,"2015-01-28 21:38:29",,,,,294.0,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",,No,,,,0,80GB,,,,/l/a/latitude-e6400.jpg,"Latitude E6400",Dell,,"Buy your Latitude E6400 today or call us to configure one for your needs. Full warranty and thoroughly tested before shipping to you.",,"Refurbished Latitude E6400 Laptops",,,"Use config","Use config","Latitude E6400",,,"Block after Info Column",,,,,295.0000,Intel,,2GB,,0,,,"Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>",/l/a/latitude-e6400.jpg,"Latitude E6400",,,,1,2,/l/a/latitude-e6400.jpg,"Latitude E6400","2015-02-24 19:04:34",latitude-e6400-1,latitude-e6400-1,4,"90 Day",45.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/l/a/latitude-e6400.jpg,"Latitude E6400",1,0
