sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,activation_info,color,condition,contrast_ratio,cost,country_of_manufacture,cpu_cores,cpu_quantity,cpu_speed,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,custom_stock_status,custom_stock_status_qty_based,custom_stock_status_qty_rule,description,featured,gallery,gift_message_available,has_options,hdd1_capacity,hdd1_quantity,hdd2_capacity,hdd2_quantity,hdd_physical_size,hdd_quantity_storage,hdd_speed_type,hide_default_stock_status,image,image_label,manufacturer,media_gallery,memory,meta_description,meta_keyword,meta_title,minimal_price,model,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,part_number,part_type,price,processor,raid_controller,ram_technology,required_options,rw_video_host,server_compatibility,server_type,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort
PE-T300-3.0GHzDC-4GB-2x146GB,,Server,simple,"Dell Servers","EZTradeLive.com Products",base,,,,,,,"Dual Core",1,3.0GHz,"2012-02-01 15:17:21",,,,,,No,,"<p><span style=""font-size: medium;"">A solid IT infrastructure is essential for any small business, providing the productivity and reliability necessary to succeed. Dell works directly with small businesses every day, listening to their concerns and helping them to achieve their goals. This collaboration has resulted in the PowerEdge T300, a 1-socket tower server built for the small business.</span></p>",,,,0,146GB,2,,,3.5&quot;,,"15,000RPM SAS",No,/t/3/t300_4.jpg,,Dell,,4GB,"Looking for a Refurbished Dell PowerEdge T300 server? We have what you are looking for. Buy and save today!","Dell PowerEdge T300, PowerEdge T300, Dell T300, PET300, Dell PE T300, Dell peT300, refurbished dell poweredge t300, refurbished poweredge t300, refurbished pe t300, used dell poweredge t300, used poweredge t300, t300 server, PE t300 server, dell servers, refurbished dell servers, refurbished servers, used servers ","Dell PowerEdge T300 - 3.0GHz Dual Core / 4GB / 2 x 146GB 15K HDD - EZTradeLive.com",,"PowerEdge T300",,"Use config","Use config","Dell PowerEdge T300",,,"Block after Info Column",,,,675.0000,"Intel Xeon",Yes,DDR2-SDRAM,0,1,,Tower,"<p><span style=""font-size: medium;"">Intel Xeon E3113 3.0GHz Dual Core CPU</span><br /><span style=""font-size: medium;"">4GB DDR2 RAM</span><br /><span style=""font-size: medium;"">2 x 146GB 15K SAS Hard Drives</span><br /><span style=""font-size: medium;"">SAS 6/iR Controller</span><br /><span style=""font-size: medium;"">90 Day 100% Warranty</span></p>",/t/3/t300_4.jpg,,,,,1,2,/t/3/t300_4.jpg,,"2014-10-20 19:28:52",pe-t300-3-0dc-4gb-2x146gb,pe-t300-3-0dc-4gb-2x146gb,4,45.0000,4.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,PE-T300-2.5GHzQC-12GB-4x146GB,0,,,,,,,,,,,,,,,82,/t/3/t300_4.jpg,,2,0,,,,,,,,,,,,
,,,,"Dell Servers/Dell Tower Servers","EZTradeLive.com Products",mobile_store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dell Servers/Dell Tower Servers/Dell PowerEdge T300 Tower Server","EZTradeLive.com Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dell Servers/10th Generation Servers","EZTradeLive.com Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Tower Servers","EZTradeLive.com Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-T110-2.53GHzQC-8GB-4x500GB,,Server,simple,"Dell Servers","EZTradeLive.com Products",base,,,,,,,"Quad Core",1,2.53GHz,"2012-02-01 16:08:00",,,,,,,,"<p><span style=""font-size: medium;"">The Dell&trade; PowerEdge&trade; T110 compact, entry 1-socket tower server offers your small businesses the features you need to take productivity and performance to the next level.</span></p>",,,,0,500GB,4,,,3.5&quot;,,"7,200RPM SATA",,/t/1/t110_1.jpg,"Dell PowerEdge T110",Dell,,8GB,"Get your refurbished Dell PowerEdge T110 today and save! Dell PowerEdge T110 - 2.53GHz Quad Core / 8GB / 4 x 500GB HDD- EZTradeLive.com","Dell PowerEdge T110, PowerEdge T110, Dell T110, PET110, Dell PE T110, Dell peT110, refurbished dell poweredge t110, refurbished poweredge t110, refurbished pe t110, used dell poweredge t110, used poweredge t110, t110 server, PE t110 server, dell servers, refurbished dell servers, refurbished servers, used servers ","Dell PowerEdge T110 - 2.53GHz Quad Core / 8GB / 4 x 500GB HDD - EZTradeLive.com",,"PowerEdge T110",,"Use config","Use config","Dell PowerEdge T110",,,"Block after Info Column",,,,995.0000,"Intel Xeon X3440",Yes,DDR3-SDRAM,0,1,,Tower,"<p><span style=""font-size: medium;"">Intel Xeon X3440 2.53GHz Quad Core CPU</span><br /><span style=""font-size: medium;"">8GB DDR3 RAM</span><br /><span style=""font-size: medium;"">4 x 500GB SATA HDDs</span><br /><span style=""font-size: medium;"">Onboard S100 RAID Controller</span><br /><span style=""font-size: medium;"">DVD Drive</span><br /><span style=""font-size: medium;"">3 Year 100% Warranty</span></p>",/t/1/t110_1.jpg,"Dell PowerEdge T110",,,,1,2,/t/1/t110_1.jpg,"Dell PowerEdge T110","2014-01-17 16:55:54",pe-t110-2-53qc-8gb-4x500gb,pe-t110-2-53qc-8gb-4x500gb,4,45.0000,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,PE-T110-2.53GHzQC-8GB-4x1TB,0,,,,,,,,,,,,,,,82,/t/1/t110_1.jpg,"Dell PowerEdge T110",1,0,,,,,,,,,,,,
,,,,"Dell Servers/Dell Tower Servers","EZTradeLive.com Products",mobile_store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,/t/1/t110d_1.jpg,"Dell PowerEdge T110 -2",3,0,,,,,,,,,,,,
,,,,"Dell Servers/Dell Tower Servers/Dell PowerEdge T110 Tower Server","EZTradeLive.com Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,/t/1/t110-l.jpg,"Dell PowerEdge T110 -3",4,0,,,,,,,,,,,,
,,,,"Dell Servers/11th Generation Servers","EZTradeLive.com Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Tower Servers","EZTradeLive.com Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-R910-2x1.86GHzQC-16GB-6x146GB,,Server,simple,"Dell Servers","EZTradeLive.com Products",base,,,,,,,"Quad Core",2,1.86GHz,"2012-02-01 18:40:03",,,,,,,,"<p><span style=""font-size: medium;"">The Dell&trade; PowerEdge&trade; R910 provides performance and reliability in a scalable 4U, four-socket server allowing large workload consolidation or max virtualization machine density.</span></p>",,,,0,146GB,6,,,2.5&quot;,,"15,000RPM SAS",,/r/9/r910.jpg,"Dell PowerEdge R910",Dell,,16GB,"Buy a quality refurbished Dell PowerEdge R910 cheap. Dell PowerEdge R910 - 2 x 1.86 GHz Quad Core CPU / 16GB RAM / 6 x 146GB SAS HDDs- Great Service, Low Prices - EZTradeLive.com","Dell PowerEdge R910, PowerEdge R910, Dell R910, PER910, Dell PE R910, Dell peR910, refurbished dell poweredge R910, refurbished poweredge R910, refurbished pe R910, used dell poweredge R910, used poweredge R910, R910 server, PE R910 server, dell servers, refurbished dell servers, refurbished servers, used servers ","Refurbished Dell PowerEdge R910 - 2 x 1.86GHz Quad Core / 16GB RAM / 6 x 146GB HDD - EZTradeLive.com",,"PowerEdge R910",,"Use config","Use config","Dell PowerEdge R910",,,"Block after Info Column",,,,5950.0000,"Intel Xeon E7520",Yes,DDR3-SDRAM,0,1,,"Rack - 4U+","<p><span style=""font-size: medium;"">2 x 1.86GHz Intel Xeon Quad Core CPU</span><br /><span style=""font-size: medium;"">16GB DDR3 RAM</span><br /><span style=""font-size: medium;"">6 x 2.5"" 146GB 15K SAS HDD</span><br /><span style=""font-size: medium;"">PERC H700 RAID Controller</span><br /><span style=""font-size: medium;"">iDRAC6 Express</span><br /><span style=""font-size: medium;"">DVD Drive</span><br /><span style=""font-size: medium;"">Rails</span><br /><span style=""font-size: medium;"">4 x 1100-Watt Power Supplies</span><br /><span style=""font-size: medium;"">3 Year 100% Warranty</span></p>",/r/9/r910.jpg,"Dell PowerEdge R910",,,,1,2,/r/9/r910.jpg,"Dell PowerEdge R910","2014-01-17 17:04:08",pe-r910-2x1-86qc-32gb-6x146gb,pe-r910-2x1-86qc-32gb-6x146gb,4,70.0000,5.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,PE-R910-2x2.93GHzQC-32GB-6x146GB,0,,,,,,,,,,,,,,,82,/r/9/r910.jpg,"Dell PowerEdge R910",1,0,,,,,,,,,,,,
,,,,"Dell Servers/Dell Rack Servers","EZTradeLive.com Products",mobile_store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE-R910-2x1.86GHzQC-128GB-3x450GB,0,,,,,,,,,,,,,,,82,/r/9/r910.png,"Dell PowerEdge R910",2,0,,,,,,,,,,,,
,,,,"Dell Servers/Dell Rack Servers/4U Rackmount & Larger","EZTradeLive.com Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dell Servers/Dell Rack Servers/4U Rackmount & Larger/Dell PowerEdge R910 4U Rackmount Server ","EZTradeLive.com Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dell Servers/11th Generation Servers","EZTradeLive.com Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
