sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,name,description,short_description,price,special_price,special_from_date,special_to_date,cost,weight,manufacturer,meta_title,meta_keyword,meta_description,image,small_image,thumbnail,media_gallery,color,news_from_date,news_to_date,gallery,status,url_key,url_path,minimal_price,visibility,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,options_container,required_options,has_options,image_label,small_image_label,thumbnail_label,created_at,updated_at,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,msrp,tax_class_id,gift_message_available,condition,part_type,part_number,accept_offer_price,decline_offer_price,server_compatibility,featured,generation,server_type,processor,cpu_quantity,cpu_speed,cpu_cores,ram_quantity,ram_technology,hdd1_quantity,hdd1_capacity,hdd_size,raid,warranty,power_supply,hdd_tech,drive,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
aspire-v5-571-6499-1,,Laptop,simple,Laptops,"Default Category",base,Aspire V5-571-6499,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>,605,,,,,7,Acer,,,,aspire-v5-571-6499.jpg,aspire-v5-571-6499.jpg,aspire-v5-571-6499.jpg,,,,,,1,aspire-v5-571-6499-1,aspire-v5-571-6499-1,,4,,,,,,"Block after Info Column",0,0,Aspire V5-571-6499,Aspire V5-571-6499,Aspire V5-571-6499,"2015-01-13 16:24:33","2015-01-13 16:45:04",,"Use config","Use config",,2,,,,,605,604.0,,No,,,Intel,,1.7GHz,Quad,8GB,,,750GB,2.5",,90 Day,Single,SATA,Optical,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,aspire-v5-571-6499.jpg,Aspire V5-571-6499,1,0
inspiron-15r-7520-*special-edition*-1,,Laptop,simple,Laptops,"Default Category",base,Inspiron 15R 7520 *Special Edition*,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>,889,,,,,7,Dell,,,,inspiron-15r-7520-*special-edition*.jpg,inspiron-15r-7520-*special-edition*.jpg,inspiron-15r-7520-*special-edition*.jpg,,,,,,1,inspiron-15r-7520-*special-edition*-1,inspiron-15r-7520-*special-edition*-1,,4,,,,,,"Block after Info Column",0,0,Inspiron 15R 7520 *Special Edition*,Inspiron 15R 7520 *Special Edition*,Inspiron 15R 7520 *Special Edition*,"2015-01-13 16:24:33","2015-01-13 16:45:04",,"Use config","Use config",,2,,,,,889,888.0,,No,,,Intel,,2.5GHz,Quad,6GB,,,750GB,2.5",,90 Day,Single,SATA,Optical,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,inspiron-15r-7520-*special-edition*.jpg,Inspiron 15R 7520 *Special Edition*,1,0
inspiron-15r-n5010-1,,Laptop,simple,Laptops,"Default Category",base,Inspiron 15R N5010,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>,689,,,,,7,Dell,,,,inspiron-15r-n5010.jpg,inspiron-15r-n5010.jpg,inspiron-15r-n5010.jpg,,,,,,1,inspiron-15r-n5010-1,inspiron-15r-n5010-1,,4,,,,,,"Block after Info Column",0,0,Inspiron 15R N5010,Inspiron 15R N5010,Inspiron 15R N5010,"2015-01-13 16:24:33","2015-01-13 16:45:04",,"Use config","Use config",,2,,,,,689,688.0,,No,,,Intel,,2.4GHz,Dual,3GB,,,320GB,2.5",,90 Day,Single,SATA,Optical,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,inspiron-15r-n5010.jpg,Inspiron 15R N5010,1,0
latitude-e4310-1,,Laptop,simple,Laptops,"Default Category",base,Latitude E4310,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>,685,,,,,7,Dell,,,,latitude-e4310.jpg,latitude-e4310.jpg,latitude-e4310.jpg,,,,,,1,latitude-e4310-1,latitude-e4310-1,,4,,,,,,"Block after Info Column",0,0,Latitude E4310,Latitude E4310,Latitude E4310,"2015-01-13 16:24:33","2015-01-13 16:45:04",,"Use config","Use config",,2,,,,,685,684.0,,No,,,Intel,,2.66GHz,Quad,8GB,,,250GB,2.5",,90 Day,Single,SATA,Optical,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,latitude-e4310.jpg,Latitude E4310,1,0
latitude-e5440-1,,Laptop,simple,Laptops,"Default Category",base,Latitude E5440,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>,685,,,,,7,Dell,,,,latitude-e5440.jpg,latitude-e5440.jpg,latitude-e5440.jpg,,,,,,1,latitude-e5440-1,latitude-e5440-1,,4,,,,,,"Block after Info Column",0,0,Latitude E5440,Latitude E5440,Latitude E5440,"2015-01-13 16:24:33","2015-01-13 16:45:04",,"Use config","Use config",,2,,,,,685,684.0,,No,,,Intel,,1.9GHz,Quad,4GB,,,320GB,2.5",,1 Year,Single,SATA,Optical,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,latitude-e5440.jpg,Latitude E5440,1,0
latitude-e6230-1,,Laptop,simple,Laptops,"Default Category",base,Latitude E6230,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>,688,,,,,7,Dell,,,,latitude-e6230.jpg,latitude-e6230.jpg,latitude-e6230.jpg,,,,,,1,latitude-e6230-1,latitude-e6230-1,,4,,,,,,"Block after Info Column",0,0,Latitude E6230,Latitude E6230,Latitude E6230,"2015-01-13 16:24:33","2015-01-13 16:45:04",,"Use config","Use config",,2,,,,,688,687.0,,No,,,Intel,,2.6GHz,Quad,8GB,,,500GB,2.5",,1 Year,Single,SATA,Optical,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,latitude-e6230.jpg,Latitude E6230,1,0
latitude-e6400-1,,Laptop,simple,Laptops,"Default Category",base,Latitude E6400,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>,487,,,,,7,Dell,,,,latitude-e6400.jpg,latitude-e6400.jpg,latitude-e6400.jpg,,,,,,1,latitude-e6400-1,latitude-e6400-1,,4,,,,,,"Block after Info Column",0,0,Latitude E6400,Latitude E6400,Latitude E6400,"2015-01-13 16:24:33","2015-01-13 16:45:04",,"Use config","Use config",,2,,,,,487,486.0,,No,,,Intel,,2.53GHz,Dual,2GB,,,80GB,2.5",,90 Day,Single,SATA,Optical,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,latitude-e6400.jpg,Latitude E6400,1,0
latitude-e6430-1,,Laptop,simple,Laptops,"Default Category",base,Latitude E6430,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>,385,,,,,7,Dell,,,,latitude-e6430.jpg,latitude-e6430.jpg,latitude-e6430.jpg,,,,,,1,latitude-e6430-1,latitude-e6430-1,,4,,,,,,"Block after Info Column",0,0,Latitude E6430,Latitude E6430,Latitude E6430,"2015-01-13 16:24:33","2015-01-13 16:45:04",,"Use config","Use config",,2,,,,,385,384.0,,No,,,Intel,,2.6GHz,Quad,4GB,,,500GB,2.5",,1 Year,Single,SATA,Optical,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,latitude-e6430.jpg,Latitude E6430,1,0
latitude-e6530-1,,Laptop,simple,Laptops,"Default Category",base,Latitude E6530,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>,577,,,,,7,Dell,,,,latitude-e6530.jpg,latitude-e6530.jpg,latitude-e6530.jpg,,,,,,1,latitude-e6530-1,latitude-e6530-1,,4,,,,,,"Block after Info Column",0,0,Latitude E6530,Latitude E6530,Latitude E6530,"2015-01-13 16:24:33","2015-01-13 16:45:04",,"Use config","Use config",,2,,,,,577,576.0,,No,,,Intel,,2.6GHz,Quad,4GB,,,320GB,2.5",,1 Year,Single,SATA,Optical,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,latitude-e6530.jpg,Latitude E6530,1,0
latitude-xt2-1,,Laptop,simple,Laptops,"Default Category",base,Latitude XT2,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>,1075,,,,,7,Dell,,,,latitude-xt2.jpg,latitude-xt2.jpg,latitude-xt2.jpg,,,,,,1,latitude-xt2-1,latitude-xt2-1,,4,,,,,,"Block after Info Column",0,0,Latitude XT2,Latitude XT2,Latitude XT2,"2015-01-13 16:24:33","2015-01-13 16:45:04",,"Use config","Use config",,2,,,,,1075,1074.0,,No,,,Intel,,1.6GHz,Dual,4GB,,,128GB,2.5",,90 Day,Single,SATA,Optical,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,latitude-xt2.jpg,Latitude XT2,1,0
pavilion-dv6-6047cl-entertainment-1,,Laptop,simple,Laptops,"Default Category",base,Pavilion DV6-6047cl Entertainment,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>,1190,,,,,7,HP,,,,pavilion-dv6-6047cl-entertainment.jpg,pavilion-dv6-6047cl-entertainment.jpg,pavilion-dv6-6047cl-entertainment.jpg,,,,,,1,pavilion-dv6-6047cl-entertainment-1,pavilion-dv6-6047cl-entertainment-1,,4,,,,,,"Block after Info Column",0,0,Pavilion DV6-6047cl Entertainment,Pavilion DV6-6047cl Entertainment,Pavilion DV6-6047cl Entertainment,"2015-01-13 16:24:33","2015-01-13 16:45:04",,"Use config","Use config",,2,,,,,1190,1189.0,,No,,,Intel,,2.0GHz,Quad,8GB,,,1TB,2.5",,90 Day,Single,SATA,Optical,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,pavilion-dv6-6047cl-entertainment.jpg,Pavilion DV6-6047cl Entertainment,1,0
pavilion-dv6t-1,,Laptop,simple,Laptops,"Default Category",base,Pavilion DV6T,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>,789,,,,,7,HP,,,,pavilion-dv6t.jpg,pavilion-dv6t.jpg,pavilion-dv6t.jpg,,,,,,1,pavilion-dv6t-1,pavilion-dv6t-1,,4,,,,,,"Block after Info Column",0,0,Pavilion DV6T,Pavilion DV6T,Pavilion DV6T,"2015-01-13 16:24:33","2015-01-13 16:45:04",,"Use config","Use config",,2,,,,,789,788.0,,No,,,Intel,,2.4GHz,Quad,8GB,,,750GB,2.5",,90 Day,Single,SATA,Optical,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,pavilion-dv6t.jpg,Pavilion DV6T,1,0
studio-1747-1,,Laptop,simple,Laptops,"Default Category",base,Studio 1747,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>,699,,,,,7,Dell,,,,studio-1747.jpg,studio-1747.jpg,studio-1747.jpg,,,,,,1,studio-1747-1,studio-1747-1,,4,,,,,,"Block after Info Column",0,0,Studio 1747,Studio 1747,Studio 1747,"2015-01-13 16:24:33","2015-01-13 16:45:04",,"Use config","Use config",,2,,,,,699,698.0,,No,,,Intel,,1.6GHz,Quad,4GB,,,500GB,2.5",,90 Day,Single,SATA,Optical,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,studio-1747.jpg,Studio 1747,1,0
thinkpad-t410-1,,Laptop,simple,Laptops,"Default Category",base,ThinkPad T410,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>,665,,,,,7,Lenovo,,,,thinkpad-t410.jpg,thinkpad-t410.jpg,thinkpad-t410.jpg,,,,,,1,thinkpad-t410-1,thinkpad-t410-1,,4,,,,,,"Block after Info Column",0,0,ThinkPad T410,ThinkPad T410,ThinkPad T410,"2015-01-13 16:24:33","2015-01-13 16:45:04",,"Use config","Use config",,2,,,,,665,664.0,,No,,,Intel,,2.4GHz,Quad,4GB,,,320GB,2.5",,90 Day,Single,SATA,Optical,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,thinkpad-t410.jpg,ThinkPad T410,1,0
proliant-dl360-g5-dual-core-1,,Server,simple,Servers,"Default Category",base,ProLiant DL360 G5 - Dual-Core,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>,295,,,,,35,HP,,,,proliant-dl360-g5-dual-core.jpg,proliant-dl360-g5-dual-core.jpg,proliant-dl360-g5-dual-core.jpg,,,,,,1,proliant-dl360-g5-dual-core-1,proliant-dl360-g5-dual-core-1,,4,,,,,,"Block after Info Column",0,0,ProLiant DL360 G5 - Dual-Core,ProLiant DL360 G5 - Dual-Core,ProLiant DL360 G5 - Dual-Core,"2015-01-13 16:24:33","2015-01-13 16:45:04",,"Use config","Use config",,2,,,,,295,294.0,,No,5,Rack - 1U,Intel,2,2.33GHz,Dual,4GB,DDR2,2,146GB,2.5",Yes,1 Year,Redundant,SAS,Optical,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,proliant-dl360-g5-dual-core.jpg,ProLiant DL360 G5 - Dual-Core,1,0
,,,,"Servers/HP Servers","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Servers/HP Servers/HP 1U Racks","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proliant-dl360-g5-quad-core-1,,Server,simple,Servers,"Default Category",base,ProLiant DL360 G5 - Quad-Core,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>,295,,,,,35,HP,,,,proliant-dl360-g5-quad-core.jpg,proliant-dl360-g5-quad-core.jpg,proliant-dl360-g5-quad-core.jpg,,,,,,1,proliant-dl360-g5-quad-core-1,proliant-dl360-g5-quad-core-1,,4,,,,,,"Block after Info Column",0,0,ProLiant DL360 G5 - Quad-Core,ProLiant DL360 G5 - Quad-Core,ProLiant DL360 G5 - Quad-Core,"2015-01-13 16:24:33","2015-01-13 16:45:04",,"Use config","Use config",,2,,,,,295,294.0,,No,5,Rack - 1U,Intel,2,2.53GHz,Quad,4GB,DDR2,2,146GB,2.5",Yes,1 Year,Redundant,SAS,Optical,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,proliant-dl360-g5-quad-core.jpg,ProLiant DL360 G5 - Quad-Core,1,0
,,,,"Servers/HP Servers","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Servers/HP Servers/HP 1U Racks","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proliant-dl380-g5-dual-core-1,,Server,simple,Servers,"Default Category",base,ProLiant DL380 G5 - Dual-Core,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>,455,,,,,65,HP,,,,proliant-dl380-g5-dual-core.jpg,proliant-dl380-g5-dual-core.jpg,proliant-dl380-g5-dual-core.jpg,,,,,,1,proliant-dl380-g5-dual-core-1,proliant-dl380-g5-dual-core-1,,4,,,,,,"Block after Info Column",0,0,ProLiant DL380 G5 - Dual-Core,ProLiant DL380 G5 - Dual-Core,ProLiant DL380 G5 - Dual-Core,"2015-01-13 16:24:33","2015-01-13 16:45:04",,"Use config","Use config",,2,,,,,455,454.0,,No,5,Rack - 2U,Intel,2,2.33GHz,Dual,4GB,DDR2,2,146GB,2.5",Yes,1 Year,Redundant,SAS,Optical,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,proliant-dl380-g5-dual-core.jpg,ProLiant DL380 G5 - Dual-Core,1,0
,,,,"Servers/HP Servers","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Servers/HP Servers/HP 2U Racks","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proliant-dl380-g5-quad-core-1,,Server,simple,Servers,"Default Category",base,ProLiant DL380 G5 - Quad-Core,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>,595,,,,,65,HP,,,,proliant-dl380-g5-quad-core.jpg,proliant-dl380-g5-quad-core.jpg,proliant-dl380-g5-quad-core.jpg,,,,,,1,proliant-dl380-g5-quad-core-1,proliant-dl380-g5-quad-core-1,,4,,,,,,"Block after Info Column",0,0,ProLiant DL380 G5 - Quad-Core,ProLiant DL380 G5 - Quad-Core,ProLiant DL380 G5 - Quad-Core,"2015-01-13 16:24:33","2015-01-13 16:45:04",,"Use config","Use config",,2,,,,,595,594.0,,No,5,Rack - 2U,Intel,2,2.53GHz,Quad,4GB,DDR2,2,146GB,2.5",Yes,1 Year,Redundant,SAS,Optical,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,proliant-dl380-g5-quad-core.jpg,ProLiant DL380 G5 - Quad-Core,1,0
,,,,"Servers/HP Servers","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Servers/HP Servers/HP 2U Racks","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proliant-ml350-g5-dual-core-1,,Server,simple,Servers,"Default Category",base,ProLiant ML350 G5 Dual-Core,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>,695,,,,,65,HP,,,,proliant-ml350-g5-dual-core.jpg,proliant-ml350-g5-dual-core.jpg,proliant-ml350-g5-dual-core.jpg,,,,,,1,proliant-ml350-g5-dual-core-1,proliant-ml350-g5-dual-core-1,,4,,,,,,"Block after Info Column",0,0,ProLiant ML350 G5 Dual-Core,ProLiant ML350 G5 Dual-Core,ProLiant ML350 G5 Dual-Core,"2015-01-13 16:24:33","2015-01-13 16:45:04",,"Use config","Use config",,2,,,,,695,694.0,,No,5,Tower,Intel,2,2.66GHz,Dual,8GB,DDR2,4,250GB,3.5",Yes,1 Year,Single,SATA,Optical,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,proliant-ml350-g5-dual-core.jpg,ProLiant ML350 G5 Dual-Core,1,0
,,,,"Servers/HP Servers","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Servers/HP Servers/HP Tower Servers","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proliant-ml350-g5-quad-core-1,,Server,simple,Servers,"Default Category",base,ProLiant ML350 G5 Quad-Core,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>,685,,,,,65,HP,,,,proliant-ml350-g5-quad-core.jpg,proliant-ml350-g5-quad-core.jpg,proliant-ml350-g5-quad-core.jpg,,,,,,1,proliant-ml350-g5-quad-core-1,proliant-ml350-g5-quad-core-1,,4,,,,,,"Block after Info Column",0,0,ProLiant ML350 G5 Quad-Core,ProLiant ML350 G5 Quad-Core,ProLiant ML350 G5 Quad-Core,"2015-01-13 16:24:33","2015-01-13 16:45:04",,"Use config","Use config",,2,,,,,685,684.0,,No,5,Tower,Intel,2,2.5GHz,Quad,32GB,DDR2,4,2TB,3.5",Yes,1 Year,Single,SATA,Optical,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,proliant-ml350-g5-quad-core.jpg,ProLiant ML350 G5 Quad-Core,1,0
,,,,"Servers/HP Servers","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Servers/HP Servers/HP Tower Servers","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poweredge-2650-1,,Server,simple,Servers,"Default Category",base,PowerEdge 2650,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>,385,,,,,55,Dell,,,,poweredge-2650.jpg,poweredge-2650.jpg,poweredge-2650.jpg,,,,,,1,poweredge-2650-1,poweredge-2650-1,,4,,,,,,"Block after Info Column",0,0,PowerEdge 2650,PowerEdge 2650,PowerEdge 2650,"2015-01-13 16:24:33","2015-01-13 16:45:04",,"Use config","Use config",,2,,,,,385,384.0,,No,6,Rack - 2U,Intel,2,3.06GHz,Single,4GB,DDR2,5,36GB,3.5",Yes,1 Year,Redundant,SCSI,Optical,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,poweredge-2650.jpg,PowerEdge 2650,1,0
,,,,"Servers/Dell Servers","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Servers/Dell Servers/Dell 2U Racks","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proliant-dl160-g6-1,,Server,simple,Servers,"Default Category",base,ProLiant DL160 G6,"<strong>For Additional Configurations and Operating Systems Call Us at 770-850-8400</strong>",Need an Upgrade? Call Us!<br><strong>770-850-8400</strong>,995,,,,,35,HP,,,,proliant-dl160-g6.jpg,proliant-dl160-g6.jpg,proliant-dl160-g6.jpg,,,,,,1,proliant-dl160-g6-1,proliant-dl160-g6-1,,4,,,,,,"Block after Info Column",0,0,ProLiant DL160 G6,ProLiant DL160 G6,ProLiant DL160 G6,"2015-01-13 16:24:33","2015-01-13 16:45:04",,"Use config","Use config",,2,,,,,995,994.0,,No,6,Rack - 1U,Intel,2,2.26GHz,Quad,16GB,DDR3,2,146GB,3.5",Yes,3 Year,Redundant,SAS,Optical,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,proliant-dl160-g6.jpg,ProLiant DL160 G6,1,0
